Player,Team,Pos,Age,MarketValue_M,Minutes,npxG_p90,xA_p90,ProgPasses_p90,ProgCarries_p90,PAdj_TacklesInterceptions_p90,DefDuelWinPct,PassCompletionPct,KeyPasses_p90,BallRecoveries_p90,Pressures_p90,xT_p90,npxG_p90_pctile,xA_p90_pctile,ProgPasses_p90_pctile,ProgCarries_p90_pctile,PAdj_TacklesInterceptions_p90_pctile,DefDuelWinPct_pctile,PassCompletionPct_pctile,KeyPasses_p90_pctile,BallRecoveries_p90_pctile,Pressures_p90_pctile,xT_p90_pctile
Damian Rasak,Górnik Zabrze,DM/CM,29,1.8,2180,0.12,0.14,6.82,2.41,4.68,67.4,86.8,1.25,8.45,19.8,0.18,43.2,38.9,94.6,25.7,91.4,96.4,90.4,41.4,96.4,87.9,36.4
Lukas Podolski,Górnik Zabrze,AM/SS,40,0.3,1640,0.31,0.38,7.95,2.15,1.42,46.2,77.5,2.65,4.1,11.2,0.34,81.8,98.6,98.6,20.0,10.0,25.7,30.4,96.4,21.4,3.2,91.4
Erik Janża,Górnik Zabrze,LB/LWB,32,1.2,2250,0.08,0.28,5.85,3.45,3.85,61.8,79.2,2.1,6.8,15.4,0.29,26.8,84.6,78.6,55.4,76.4,83.6,41.8,81.1,73.2,36.8,81.8
Taofeek Ismaheel,Górnik Zabrze,RW/LW,25,1.5,1820,0.28,0.24,3.1,7.8,2.1,49.5,74.8,1.85,4.6,17.1,0.31,75.0,77.1,18.2,97.1,30.7,37.9,16.4,72.1,31.4,61.1,87.5
Patrik Hellebrand,Górnik Zabrze,CM,26,1.0,1940,0.09,0.18,6.15,3.8,3.15,56.4,88.2,1.45,6.9,16.8,0.21,32.5,59.3,82.9,61.1,62.1,64.6,95.0,54.3,75.4,56.1,54.6
Luka Zahović,Górnik Zabrze,CF,30,0.9,1710,0.42,0.16,2.2,2.1,1.25,41.5,73.1,1.15,3.2,16.2,0.16,94.3,48.6,8.6,19.3,4.3,8.6,9.3,35.0,7.9,48.9,27.5
Dominik Szala,Górnik Zabrze,CB/RB,20,1.8,1890,0.04,0.05,4.1,1.95,4.25,68.2,84.5,0.35,7.95,13.5,0.08,9.6,7.1,32.1,15.7,85.0,97.9,72.1,4.3,88.9,14.6,3.9
Kryspin Szcześniak,Górnik Zabrze,CB,25,1.0,2100,0.05,0.03,3.65,1.25,4.4,69.5,85.0,0.2,8.6,12.8,0.06,12.9,4.3,26.4,5.7,87.9,98.6,76.8,2.1,97.5,11.4,1.1
Kamil Lukoszek,Górnik Zabrze,LW/LWB,23,0.8,1420,0.21,0.15,3.2,5.1,2.8,53.1,76.4,1.3,5.4,18.5,0.2,61.1,42.9,20.0,78.2,51.4,50.4,25.7,45.4,45.0,76.1,50.4
Antoni Kozubal,Lech Poznań,CM,21,5.0,2150,0.1,0.22,7.45,3.6,3.9,58.5,87.5,1.75,7.2,18.2,0.26,36.4,73.2,97.9,58.6,77.1,71.1,93.6,65.0,81.4,71.4,72.5
