Team,Pld,W,D,L,GF,GA,Pts,xG,xGA,Possession,FieldTilt,PPDA,DeepCompletions_p90,HighTurnovers_p90,SetPiece_xG,GD,xGD,xG_p90,xGA_p90,xGD_p90
Lech Poznań,26,17,4,5,48,21,55,46.2,22.8,59.4,62.1,8.6,8.4,9.8,8.9,27,23.400000000000002,1.78,0.88,0.9
Raków Częstochowa,26,16,5,5,38,16,53,41.5,18.2,54.8,58.7,7.9,7.6,10.4,9.4,22,23.3,1.6,0.7,0.9
Jagiellonia Białystok,26,15,5,6,49,32,50,44.8,30.1,55.2,56.4,9.8,7.9,8.1,7.8,17,14.699999999999996,1.72,1.16,0.57
Legia Warszawa,26,14,6,6,45,28,48,43.1,27.5,58.1,60.5,8.4,8.1,9.2,8.2,17,15.600000000000001,1.66,1.06,0.6
Górnik Zabrze,26,13,6,7,41,27,45,39.8,26.4,51.8,54.2,9.1,7.2,9.5,9.1,14,13.399999999999999,1.53,1.02,0.52
Pogoń Szczecin,26,13,5,8,44,31,44,42.0,32.2,56.7,57.0,9.4,7.8,8.6,7.4,13,9.799999999999997,1.62,1.24,0.38
Cracovia,26,12,6,8,42,35,42,38.6,33.9,47.5,46.8,11.2,6.1,7.2,9.8,7,4.700000000000003,1.48,1.3,0.18
Widzew Łódź,26,10,7,9,33,32,37,32.4,33.1,49.3,48.9,10.5,5.8,7.9,6.7,1,-0.7000000000000028,1.25,1.27,-0.03
Piast Gliwice,26,8,11,7,29,26,35,31.0,27.8,48.6,47.5,10.8,5.4,7.4,6.1,3,3.1999999999999993,1.19,1.07,0.12
GKS Katowice,26,9,6,11,35,37,33,33.7,38.2,46.2,45.1,11.9,5.2,6.8,7.2,-2,-4.5,1.3,1.47,-0.17
Motor Lublin,26,8,7,11,32,41,31,30.5,39.6,47.1,46.0,12.1,4.9,6.5,6.8,-9,-9.100000000000001,1.17,1.52,-0.35
Zagłębie Lubin,26,7,8,11,27,36,29,28.9,37.4,48.0,47.2,11.4,4.8,6.9,5.9,-9,-8.5,1.11,1.44,-0.33
Radomiak Radom,26,7,6,13,30,40,27,31.2,41.5,48.8,48.0,11.0,5.3,7.1,6.3,-10,-10.3,1.2,1.6,-0.4
Korona Kielce,26,6,8,12,24,38,26,26.5,39.8,45.4,43.8,12.6,4.5,6.2,5.5,-14,-13.299999999999997,1.02,1.53,-0.51
Śląsk Wrocław,26,5,10,11,28,39,25,29.8,40.2,46.9,45.5,12.3,4.7,6.4,6.0,-11,-10.400000000000002,1.15,1.55,-0.4
Lechia Gdańsk,26,5,8,13,29,45,23,28.1,46.2,45.1,43.2,13.2,4.4,5.8,5.2,-16,-18.1,1.08,1.78,-0.7
Stal Mielec,26,5,7,14,25,42,22,25.4,43.8,43.2,40.9,13.8,4.1,5.4,6.4,-17,-18.4,0.98,1.68,-0.71
Puszcza Niepołomice,26,4,7,15,26,49,19,24.8,50.1,37.8,35.6,15.4,3.8,4.9,10.5,-23,-25.3,0.95,1.93,-0.97
