shot_id,player,club,x,y,distance_m,angle_deg,defender_pressure_index,xg,psxg,outcome
1,Simon Banza,Trabzonspor,92.0,43.3,16.0,21.5,0.61,0.07,0.0,Off Target
2,Damian Rasak,Górnik Zabrze,100.8,31.4,4.9,70.3,0.63,0.09,0.11,Saved
3,Luka Zahović,Górnik Zabrze,100.7,34.9,4.4,79.4,0.62,0.25,0.25,Saved
4,Simon Banza,Trabzonspor,85.1,30.7,20.2,20.3,0.61,0.04,0.03,Saved
5,Edin Džeko,Fenerbahçe,97.2,25.6,11.5,25.8,0.46,0.14,0.12,Saved
6,Dušan Tadić,Fenerbahçe,79.1,18.6,30.1,12.0,0.1,0.02,0.0,Off Target
7,Lukas Podolski,Górnik Zabrze,80.8,30.5,24.5,16.9,0.42,0.02,0.0,Blocked
8,Rafa Silva,Beşiktaş,100.9,48.2,14.8,8.3,0.68,0.07,0.07,Saved
9,Lukas Podolski,Górnik Zabrze,97.3,20.1,15.9,13.3,0.81,0.05,0.06,Saved
10,Damian Rasak,Górnik Zabrze,79.2,30.3,26.1,15.8,0.49,0.02,0.02,Saved
11,Simon Banza,Trabzonspor,87.1,19.9,22.8,14.5,0.3,0.03,0.0,Off Target
12,Victor Osimhen,Galatasaray,82.0,44.1,25.1,15.2,0.1,0.03,0.02,Saved
13,Lukas Podolski,Górnik Zabrze,93.4,36.6,11.9,33.6,0.61,0.08,0.0,Off Target
14,Lukas Podolski,Górnik Zabrze,100.2,19.1,15.7,8.6,0.59,0.05,0.06,Saved
15,Luka Zahović,Górnik Zabrze,80.3,31.1,24.9,16.6,0.18,0.02,0.0,Off Target
16,Damian Rasak,Górnik Zabrze,91.8,48.8,19.8,14.3,0.52,0.02,0.02,Saved
17,Victor Osimhen,Galatasaray,79.6,46.3,28.2,13.4,0.34,0.02,0.0,Blocked
18,Simon Banza,Trabzonspor,95.6,36.1,9.6,40.9,0.56,0.15,0.17,Saved
19,Gabriel Sara,Galatasaray,100.6,25.8,9.3,23.7,0.65,0.08,0.07,Saved
20,Dušan Tadić,Fenerbahçe,95.7,37.8,10.0,37.9,0.39,0.1,0.0,Blocked
21,Rafa Silva,Beşiktaş,100.9,48.8,15.4,7.7,0.71,0.06,0.1,Goal
22,Dušan Tadić,Fenerbahçe,97.3,23.1,13.3,18.9,0.37,0.07,0.0,Off Target
23,Taofeek Ismaheel,Górnik Zabrze,78.2,27.2,27.6,14.6,0.41,0.02,0.0,Blocked
24,Mauro Icardi,Galatasaray,94.5,35.3,10.6,38.0,0.58,0.19,0.0,Blocked
25,Ciro Immobile,Beşiktaş,85.4,18.6,24.9,13.3,0.46,0.03,0.02,Saved
26,Dušan Tadić,Fenerbahçe,80.7,48.0,28.0,13.0,0.12,0.02,0.0,Blocked
27,Mauro Icardi,Galatasaray,102.6,23.3,11.0,9.3,0.68,0.17,0.12,Saved
28,Simon Banza,Trabzonspor,79.2,45.9,28.4,13.4,0.42,0.02,0.0,Off Target
29,Taofeek Ismaheel,Górnik Zabrze,97.5,22.2,14.0,16.8,0.82,0.05,0.0,Blocked
30,Damian Rasak,Górnik Zabrze,82.1,33.0,22.9,18.1,0.58,0.02,0.0,Off Target
31,Gabriel Sara,Galatasaray,89.7,23.2,18.7,18.4,0.65,0.03,0.02,Saved
32,Edin Džeko,Fenerbahçe,95.0,26.7,12.4,27.6,0.64,0.12,0.0,Off Target
33,Taofeek Ismaheel,Górnik Zabrze,78.8,41.4,27.2,14.8,0.11,0.02,0.02,Saved
34,Mauro Icardi,Galatasaray,83.5,19.0,26.2,13.1,0.25,0.03,0.0,Blocked
