name,club,league,pos,age,val,xg_p90,npxg_p90,shots_p90,xa_p90,xt_p90,prog_p90,duels_pct,tackles_p90,ppda_induced,composite_impact
Victor Osimhen,Galatasaray,Süper Lig,ST,27,75.0,0.88,0.82,4.12,0.22,0.18,3.45,54.2,0.85,14.2,6.26
Gabriel Sara,Galatasaray,Süper Lig,CM,26,22.0,0.24,0.21,1.95,0.38,0.34,8.12,58.6,2.45,9.8,11.3
Lucas Torreira,Galatasaray,Süper Lig,DM,29,15.0,0.08,0.08,0.65,0.14,0.19,6.85,64.8,4.15,7.4,9.05
Barış Alper Yılmaz,Galatasaray,Süper Lig,RW/LW,25,21.0,0.36,0.35,2.85,0.25,0.31,5.92,61.2,1.95,8.6,9.51
Fred,Fenerbahçe,Süper Lig,CM,32,13.0,0.16,0.15,1.45,0.28,0.29,7.85,62.4,3.65,8.1,10.86
Sebastian Szymański,Fenerbahçe,Süper Lig,AM,26,19.0,0.32,0.3,2.65,0.34,0.32,6.42,52.8,2.85,8.4,10.31
Dušan Tadić,Fenerbahçe,Süper Lig,LW/AM,37,3.0,0.28,0.2,1.85,0.44,0.42,7.15,46.5,1.15,12.5,11.22
Sofyan Amrabat,Fenerbahçe,Süper Lig,DM,29,16.0,0.05,0.05,0.45,0.11,0.17,6.95,63.2,3.85,8.8,8.54
Rafa Silva,Beşiktaş,Süper Lig,AM/RW,32,14.0,0.42,0.4,3.1,0.36,0.39,7.45,49.8,1.45,10.2,10.87
Gedson Fernandes,Beşiktaş,Süper Lig,CM,27,18.0,0.22,0.22,1.85,0.24,0.31,8.45,66.5,4.45,7.6,11.64
Ciro Immobile,Beşiktaş,Süper Lig,ST,35,3.5,0.62,0.44,3.45,0.16,0.14,2.15,44.5,0.65,13.8,4.7
Batista Mendy,Trabzonspor,Süper Lig,DM/CB,25,10.0,0.08,0.08,0.75,0.09,0.18,6.15,68.4,4.85,7.9,8.91
Simon Banza,Trabzonspor,Süper Lig,ST,29,12.0,0.58,0.48,3.25,0.14,0.16,2.85,56.4,0.95,12.1,5.6
Edin Višća,Trabzonspor,Süper Lig,RW,35,2.0,0.25,0.25,2.1,0.42,0.36,6.25,48.2,1.65,11.2,10.38
Okay Yokuşlu,Trabzonspor,Süper Lig,DM,31,3.2,0.09,0.09,0.85,0.1,0.16,5.45,67.2,3.95,8.4,8.02
Damian Rasak,Górnik Zabrze,Ekstraklasa,DM,29,1.2,0.12,0.12,1.15,0.18,0.22,7.45,67.4,4.68,7.8,10.1
Lukas Podolski,Górnik Zabrze,Ekstraklasa,AM,40,0.3,0.28,0.28,2.65,0.38,0.34,7.95,46.8,0.85,14.5,10.17
Erik Janża,Górnik Zabrze,Ekstraklasa,LB,32,1.0,0.08,0.08,0.95,0.34,0.36,8.12,61.5,3.25,8.9,11.83
Patrik Hellebrand,Górnik Zabrze,Ekstraklasa,CM,26,0.8,0.11,0.11,1.05,0.21,0.24,6.85,59.2,2.95,8.7,9.22
Taofeek Ismaheel,Górnik Zabrze,Ekstraklasa,RW,25,1.5,0.31,0.31,2.45,0.28,0.29,6.15,55.4,1.75,9.4,9.2
Luka Zahović,Górnik Zabrze,Ekstraklasa,ST,30,0.9,0.44,0.44,2.85,0.16,0.15,2.95,49.5,1.15,11.2,5.47
Kamil Lukoszek,Górnik Zabrze,Ekstraklasa,LW,23,1.0,0.26,0.26,2.15,0.22,0.23,5.45,53.8,2.15,9.1,8.13
Josema,Górnik Zabrze,Ekstraklasa,CB,29,0.9,0.04,0.04,0.35,0.05,0.12,5.12,69.2,3.85,8.1,7.24
Rafał Szale,Górnik Zabrze,Ekstraklasa,RB,19,1.8,0.06,0.06,0.55,0.18,0.22,5.85,62.1,3.45,8.5,8.82
Kryspin Szcześniak,Górnik Zabrze,Ekstraklasa,CB,24,1.2,0.05,0.05,0.45,0.06,0.11,4.85,67.8,4.15,7.9,7.16
Afonso Sousa,Lech Poznań,Ekstraklasa,AM,25,3.5,0.34,0.34,2.75,0.32,0.31,7.15,53.4,2.15,9.2,10.07
Mikael Ishak,Lech Poznań,Ekstraklasa,ST,32,2.5,0.64,0.52,3.65,0.19,0.17,2.95,52.8,0.95,11.5,5.84
Taras Romanczuk,Jagiellonia,Ekstraklasa,DM,34,1.2,0.09,0.09,0.75,0.12,0.15,5.95,66.5,4.25,8.2,8.27
Jesús Imaz,Jagiellonia,Ekstraklasa,AM/ST,35,1.0,0.48,0.44,3.15,0.31,0.28,5.15,47.8,1.25,11.8,8.4
Ante Crnac,Ex-Raków/Norwich,Ekstraklasa,ST/RW,22,11.0,0.46,0.46,2.95,0.24,0.25,4.85,57.5,1.65,9.5,8.12
Bartosz Slisz,Ex-Legia/Atlanta,Ekstraklasa,DM,26,5.0,0.07,0.07,0.65,0.14,0.21,7.25,65.8,4.45,7.5,9.59
Player 1,Pogoń,Ekstraklasa,RB,24,2.7,0.06,0.06,0.25,0.06,0.17,4.83,64.3,4.0,13.6,7.7
Player 2,Legia,Ekstraklasa,CM,18,2.2,0.1,0.1,0.88,0.19,0.22,6.46,66.6,3.13,10.5,9.07
